Date,QuarterEnding,RevenuePerShare,EPS
2019-07-08,2019-06-30,10509.0,8.27
2019-10-03,2019-09-30,95.98148148148148,16.66
2020-01-13,2019-12-31,143.24074074074073,24.17
2020-04-22,2020-03-31,187.1064814814815,31.17
2020-07-12,2020-06-30,46.319148936170215,8.08
2020-10-07,2020-09-30,96.42978723404255,16.48
2021-01-14,2020-12-31,148.4936170212766,24.72
2021-04-14,2021-03-31,201.86382978723404,34.03
2021-07-08,2021-06-30,52.170212765957444,8.92
2021-10-04,2021-09-30,107.91063829787234,18.2
2022-01-04,2021-12-31,165.3531914893617,27.98
2022-04-13,2022-03-31,224.27234042553192,37.79
2023-01-09,2022-12-31,194.5404255319149,32.01
2023-04-14,2023-03-31,259.9659574468085,43.07
2023-07-07,2023-06-30,66.71914893617021,10.87
